age,weight(kg),height(m),BMI,BMR,activity_level,calories_to_maintain_weight,gender_F,gender_M
3,17.70067187818394,1.051633096713448,16.00520570491547,989.604,70.0,1682.3268,1,0
4,17.275365257261278,1.0281677197119543,16.34177810601731,976.832,70.0,1660.6144,1,0
2,14.323289571998114,0.8623203058061891,19.2621848483099,679.789,50.0,1019.6835,0,1
4,14.423497615982068,0.9150001156969778,17.227739219959584,930.216,89.99999999999999,1767.4104,1,0
2,17.544371527252718,0.9420799297672442,19.767980881071463,974.18,19.999999999999996,1169.0159999999998,1,0
5,12.3733408100454,0.9602963602617742,13.417648472850267,913.534,89.99999999999999,1735.7145999999998,1,0
3,15.985863314892503,0.8999502495848503,19.737815805178005,714.581,70.0,1214.7877,0,1
4,15.277206816904464,0.8767985527882985,19.87212495627667,931.917,30.000000000000004,1211.4921000000002,1,0
4,12.812081534227314,0.995329715125446,12.932597281035935,928.402,89.99999999999999,1763.9638,1,0
2,17.363209568311287,1.0286136101672887,16.410638328387,987.151,50.0,1480.7265,1,0
3,17.441773320824677,0.9104051864163136,21.0436558960956,963.11,70.0,1637.287,1,0
2,12.023797628220208,1.0515089264214,10.87466107480257,939.785,89.99999999999999,1785.5914999999998,1,0
2,14.729476997297722,0.9047826268387882,17.99280282410736,940.816,89.99999999999999,1787.5504,1,0
3,12.39642581786958,0.8768936267864942,16.121396467043205,908.978,70.0,1545.2625999999998,1,0
4,16.599537275646853,0.9908200813671256,16.90855061444655,963.995,70.0,1638.7915,1,0
5,16.812840952851204,0.8978786848819335,20.854788081235338,711.275,89.99999999999999,1351.4225,0,1
3,16.166559774194276,1.0662441791024535,14.220152891461776,800.204,89.99999999999999,1520.3875999999998,0,1
3,16.735875785439788,1.0052050132522954,16.563005729153346,972.449,50.0,1458.6735,1,0
3,12.665823817397303,0.946988084701918,14.123567615910911,923.48,89.99999999999999,1754.612,1,0
3,15.380008698307408,1.030568754795255,14.48113621420997,963.745,89.99999999999999,1831.1155,1,0
4,12.804443659099553,0.9023974212239616,15.724071950735611,912.53,89.99999999999999,1733.8069999999998,1,0
3,16.902871879927716,0.9273395135991396,19.65544899620196,960.815,89.99999999999999,1825.5485,1,0
5,15.479250857295831,0.897214400699809,19.22903399871174,932.627,70.0,1585.4659,1,0
2,16.6266268886395,0.8579366946142041,22.58882622409252,951.065,30.000000000000004,1236.3845,1,0
5,17.256058114276712,0.9601944608024046,18.716438095117063,960.391,50.0,1440.5865,1,0
5,17.339376608492078,0.9458232887546149,19.382664247992917,958.748,50.0,1438.122,1,0
3,16.374592742001347,0.9267431829421294,19.06565399587717,955.642,70.0,1624.5914,1,0
3,13.3516046662293,0.9021289458498912,16.40575527447198,922.437,89.99999999999999,1752.6303,1,0
5,16.620702007634527,1.0003291720372784,16.609765267352657,961.115,89.99999999999999,1826.1185,1,0
4,17.43157066032804,1.033941730340601,16.305885662319366,794.583,89.99999999999999,1509.7077,0,1
4,15.314936848472405,0.8843619038297144,19.5819148799217,690.796,70.0,1174.3532,0,1
3,12.13751070180292,1.0596463521281183,10.809552895769857,937.56,89.99999999999999,1781.3639999999998,1,0
4,13.966497365173446,0.9753164290542334,14.68237878150054,936.082,70.0,1591.3393999999998,1,0
4,12.093667694731865,0.8972341055352616,15.02264774534578,904.829,89.99999999999999,1719.1751,1,0
4,14.67791139950998,0.8601561074972911,19.83853998235803,923.334,89.99999999999999,1754.3346,1,0
4,16.97142841231211,1.0451289071378174,15.537411806561533,793.873,89.99999999999999,1508.3587,0,1
4,12.272156598252494,1.0627522224098682,10.865678350984007,934.681,89.99999999999999,1775.8939,1,0
3,15.347958945091076,0.8621330614493949,20.64914286190477,686.934,70.0,1167.7877999999998,0,1
3,13.06255299552068,0.900754665088448,16.09959775140447,919.429,89.99999999999999,1746.9151,1,0
2,16.69240566444178,0.8790086072336135,21.603925707642738,720.59,70.0,1225.003,0,1
4,15.523085192954731,1.060456652651114,13.803594699595722,965.499,70.0,1641.3483,1,0
3,16.472961935777576,1.0360106029006453,15.34769975590248,789.285,89.99999999999999,1499.6415,0,1
4,13.866840143810066,1.0783273369597903,11.925491262129006,767.939,89.99999999999999,1459.0840999999998,0,1
5,12.880733822740757,0.8871674231521491,16.365505843330816,905.974,89.99999999999999,1721.3506,1,0
3,13.92090388571755,0.902510233758256,17.09083040583459,927.967,89.99999999999999,1763.1373,1,0
3,15.37128021555258,1.031410311399439,14.449309776631408,963.804,70.0,1638.4668,1,0
3,17.369846319299363,0.8609900406018435,23.431479978061187,954.019,30.000000000000004,1240.2247,1,0
3,16.206797256818174,0.9999650330725794,16.207930720075215,966.479,89.99999999999999,1836.3101,1,0
3,14.218549949571496,1.0212740707085486,13.632349023984316,951.015,89.99999999999999,1806.9285,1,0
3,13.040274982720335,0.8736050246583429,17.086633455646616,914.599,70.0,1554.8183,1,0
2,16.701684703890308,0.9294524053086636,19.333299082927294,963.943,50.0,1445.9145,1,0
4,17.59041161950256,1.033654663279728,16.46360984496529,796.616,89.99999999999999,1513.5703999999998,0,1
3,15.026152680797065,0.8670354486787799,19.98821855804912,932.547,30.000000000000004,1212.3111,1,0
4,15.120324628392089,0.9007265982197218,18.636962886177542,934.479,50.0,1401.7185,1,0
5,12.8772791383993,0.9856509891648398,13.254940596657931,922.683,70.0,1568.5611,1,0
4,15.801070559501312,0.8889816193137199,19.994058079898405,939.017,70.0,1596.3289,1,0
3,15.615096041709831,1.0674854288562048,13.703160625722496,972.277,89.99999999999999,1847.3263,1,0
3,14.630588133355982,0.9495960913328266,16.2249716998307,942.785,89.99999999999999,1791.2914999999998,1,0
3,15.348170603698083,1.050225653861921,13.91526152098298,966.781,50.0,1450.1715,1,0
2,17.575395650001703,0.9537589173516834,19.320923789463965,770.062,50.0,1155.093,0,1
4,12.380182274583175,0.8771426713500738,16.091130633798112,904.164,89.99999999999999,1717.9116,1,0
4,17.627742485030627,0.8874964825993897,22.380171823440797,956.301,89.99999999999999,1816.9719,1,0
5,14.766356752208054,1.0480030230049666,13.444612387904131,951.418,89.99999999999999,1807.6942,1,0
3,17.508294624274164,0.9775992744453552,18.319858083024315,975.172,50.0,1462.758,1,0
5,15.85014891378943,0.9027698803257008,19.44819161563688,937.132,30.000000000000004,1218.2716,1,0
2,14.476835341673972,0.8637736052659462,19.40321861372743,682.619,50.0,1023.9285,0,1
3,15.79009848447309,0.9076071991504764,19.16853731579603,946.778,70.0,1609.5226,1,0
4,15.151879930191322,1.0369146083631362,14.092256330437731,957.934,70.0,1628.4878,1,0
5,12.214241162702596,0.9653847691173786,13.105862440706025,912.872,70.0,1551.8824,1,0
3,16.177110443478966,1.037973723230727,15.015100103045686,972.656,50.0,1458.984,1,0
3,17.629502080810955,0.8901387795034206,22.249722709950948,732.194,70.0,1244.7297999999998,0,1
3,17.081453533865194,1.0346773127749262,15.955667260130149,980.777,70.0,1667.3209,1,0
2,14.887901289786107,0.8857671426136434,18.97554893819783,939.104,70.0,1596.4768,1,0
3,17.286486766331905,0.8646937327731042,23.11969580082228,953.848,89.99999999999999,1812.3112,1,0
4,17.89846772210507,1.0470725657479345,16.32534211698238,986.028,70.0,1676.2476,1,0
3,12.721754637472326,1.0756566296487955,10.995113038212686,945.89,89.99999999999999,1797.1909999999998,1,0
4,14.94351317971708,1.008893932725958,14.68120457484592,951.17,89.99999999999999,1807.223,1,0
5,17.873908782685128,0.8563277090598898,24.37471480307084,948.665,89.99999999999999,1802.4635,1,0
4,17.60215014263561,0.9676445101129284,18.79896966584507,969.68,70.0,1648.456,1,0
4,17.458228761834782,1.0179170180399106,16.849050407294662,786.936,89.99999999999999,1495.1784,0,1
5,17.5798924522129,0.8737337730496012,23.028092624569343,709.711,70.0,1206.5087,0,1
5,15.906316324712648,1.0479890992266168,14.482918416955584,773.911,89.99999999999999,1470.4308999999998,0,1
4,17.86130068036452,0.8643604704441651,23.90690122148996,954.61,89.99999999999999,1813.759,1,0
3,12.931174999888844,1.0274694838178842,12.248985626757651,939.709,70.0,1597.5052999999998,1,0
4,14.484310926908012,0.8736521273729148,18.97670303776769,923.77,70.0,1570.409,1,0
4,17.362454186560747,0.942501726137214,19.54550087873921,963.105,70.0,1637.2785,1,0
4,12.00553608692444,1.0146018776698973,11.662461796143576,923.935,70.0,1570.6895,1,0
4,15.068340777611615,0.8696493003342554,19.9240273691315,680.061,50.0,1020.0915,0,1
4,15.0043437714213,0.8667925474072183,19.970395627066075,927.596,30.000000000000004,1205.8748,1,0
3,14.830574845433572,1.0036027638446166,14.724287464517122,953.886,70.0,1621.6062,1,0
3,16.82035349598465,1.068013940376889,14.7462392511355,983.938,50.0,1475.907,1,0
4,14.633511807435458,1.0660662095392686,12.875977417527448,772.312,89.99999999999999,1467.3928,0,1
5,15.774620818872592,0.902881480768474,19.35073379008328,936.426,30.000000000000004,1217.3538,1,0
2,16.118749607449608,1.0522030137076632,14.559024141586992,979.215,89.99999999999999,1860.5085,1,0
2,16.611049534503675,0.8614439399220142,22.38427501490051,710.693,70.0,1208.1781,0,1
3,16.650414047565924,0.8921109755672456,20.92123282643812,952.403,70.0,1619.0851,1,0
4,12.70738167456126,0.8703882631338795,16.77374445195622,906.157,89.99999999999999,1721.6983,1,0
2,16.491576416772965,1.0177867459617065,15.920202571254274,787.228,89.99999999999999,1495.7332,0,1
4,14.280823827941129,1.035633828022232,13.314988815457896,949.354,89.99999999999999,1803.7726,1,0
4,14.33756736308143,1.0274720265162025,13.581115972385888,948.511,89.99999999999999,1802.1709,1,0
3,17.091291928757713,0.93431195598191,19.579025837815053,963.809,50.0,1445.7134999999998,1,0
4,15.100339917265364,0.9504659459008132,16.715277894044785,942.742,70.0,1602.6614,1,0
3,16.527445937377415,0.9697610398522476,17.57422897453318,964.423,89.99999999999999,1832.4037,1,0
4,14.352992645950543,0.9308582884994728,16.564385228289968,932.235,89.99999999999999,1771.2465,1,0
4,14.739819103684615,0.8911498699671072,18.560542140075437,929.198,30.000000000000004,1207.9574,1,0
4,17.191649764761586,0.96420755207769,18.491685456327566,965.155,89.99999999999999,1833.7945,1,0
5,13.49252952978751,0.9570902272277912,14.72948674118718,923.734,70.0,1570.3478,1,0
5,14.831419985676025,0.9959782915637208,14.951438814257807,943.198,89.99999999999999,1792.0762,1,0
3,13.053320433774545,0.9592894526330604,14.184749164125416,929.291,70.0,1579.7947,1,0
3,17.84464598099901,0.8599335977018832,24.131154598279338,720.038,70.0,1224.0646,0,1
3,15.4965562969903,0.8701413526203582,20.46706558384926,692.973,50.0,1039.4595,0,1
3,12.435410223693234,0.888154225916401,15.764614071653217,911.266,89.99999999999999,1731.4054,1,0
4,14.197896470208104,0.8884892129920222,17.98538281298081,923.543,70.0,1570.0231,1,0
4,12.289552965267124,0.9614149267389268,13.29579665440541,917.62,89.99999999999999,1743.4779999999998,1,0
4,13.561448003326674,0.930915098573552,15.648975647988143,924.645,70.0,1571.8964999999998,1,0
5,13.658320707392445,0.9100423906301578,16.492027897824457,917.327,70.0,1559.4559,1,0
2,15.829425665229271,1.0384115341104172,14.680003224674346,974.092,50.0,1461.138,1,0
4,17.855377492010195,1.041912701637449,16.447745275645204,984.737,70.0,1674.0529,1,0
2,17.49643858663996,0.8884911936481307,22.16375809713006,964.609,70.0,1639.8353,1,0
4,13.636284949711571,0.9774545568667924,14.272594152491672,933.276,70.0,1586.5692,1,0
5,13.91043424452728,1.0014219032177858,13.87095987513861,935.282,70.0,1589.9794,1,0
3,16.81797655695084,0.9420464382940242,18.95086853806244,962.5,19.999999999999996,1155.0,1,0
3,16.288063261561792,0.9028108701209512,19.98369940754145,950.743,50.0,1426.1145,1,0
4,15.208565962796712,0.868766475706132,20.15032977339745,681.541,50.0,1022.3115,0,1
4,17.07288780039913,0.9253276718625608,19.939574498300164,957.405,30.000000000000004,1244.6265,1,0
3,14.650189803829305,0.8708789004583635,19.31646778089804,929.591,50.0,1394.3865,1,0
4,16.212877610281403,0.8895637740463852,20.488300103251465,943.069,30.000000000000004,1225.9897,1,0
4,17.656836016233704,0.8878007988635928,22.401743521505725,956.632,30.000000000000004,1243.6216,1,0
5,15.603299247988282,0.9077616311814216,18.93532628955688,935.611,50.0,1403.4165,1,0
4,14.754277980488098,1.0775615887749916,12.706728707826615,961.027,70.0,1633.7459,1,0
2,17.452136439555595,0.9337915606452344,20.014682745594083,971.885,19.999999999999996,1166.262,1,0
4,14.601348675557372,0.8818474968411547,18.77612634299612,926.287,89.99999999999999,1759.9453,1,0
4,16.030728653496475,1.026976282476148,15.199609668454878,964.681,89.99999999999999,1832.8939,1,0
2,17.238498956281326,1.0197096832505848,16.57854300034105,984.44,89.99999999999999,1870.436,1,0
2,16.84832974863217,0.9902692449161936,17.181072531974685,975.69,50.0,1463.535,1,0
2,15.929554420930682,1.0046709259364346,15.781779058932228,969.318,50.0,1453.977,1,0
2,14.297817995813883,0.8588125897530621,19.385319342563665,677.686,50.0,1016.529,0,1
3,13.155317549204542,0.9915410739017896,13.38073338145248,935.753,89.99999999999999,1777.9307,1,0
4,14.14341028795664,0.9585987431530996,15.391481674367268,934.939,89.99999999999999,1776.3840999999998,1,0
4,17.496114249593248,0.9424098069456462,19.699808856257967,964.372,50.0,1446.558,1,0
2,15.327587284196987,0.8691888178311472,20.288294343641493,940.507,30.000000000000004,1222.6591,1,0
3,13.726481327728006,0.8853321874792096,17.51244223869441,923.181,89.99999999999999,1754.0439,1,0
3,15.66711817611886,1.0212240200271612,15.022668255763309,964.912,89.99999999999999,1833.3328,1,0
5,13.303136483534706,0.8698615746410531,17.581412085813366,907.087,70.0,1542.0479,1,0
3,17.06456602520371,0.9644879480464188,18.344320844965356,968.683,50.0,1453.0245,1,0
4,17.140446927833647,0.9498629742615492,18.99766492227771,962.225,19.999999999999996,1154.67,1,0
3,16.204593671618444,0.8737016489348374,21.22813470931287,944.993,50.0,1417.4895,1,0
2,12.056738104929304,1.015325342686092,11.695515653875118,933.95,70.0,1587.715,1,0
3,12.63177019144164,1.0324269928516874,11.850741218574164,937.678,89.99999999999999,1781.5882,1,0
2,15.96833622972628,0.9246527985967686,18.67679240794169,733.493,30.000000000000004,953.5409,0,1
4,14.680151776643443,1.0767846607619602,12.661140416357055,778.31,89.99999999999999,1478.7889999999998,0,1
5,16.527534090809326,0.9576914029052692,18.02008702478683,952.972,89.99999999999999,1810.6468,1,0
4,12.142687804563325,0.9703817878319936,12.895243729900027,917.735,89.99999999999999,1743.6965,1,0
4,16.740063305686135,0.8960926430456734,20.8473699113524,716.185,89.99999999999999,1360.7515,0,1
3,12.76217105620457,0.9222430912796334,15.004921935256082,920.198,70.0,1564.3366,1,0
3,16.6554108765977,1.077717676926787,14.339874097510318,984.004,70.0,1672.8068,1,0
4,14.457298279005126,0.9717712077810482,15.309432299413968,940.191,70.0,1598.3247,1,0
3,16.86706826640415,0.9064170310758682,20.52974185451489,956.915,30.000000000000004,1243.9895,1,0
4,16.910307106846847,0.9149612760180263,20.199753387438065,954.082,70.0,1621.9394,1,0
2,15.37527937811246,0.8831625801968043,19.712499561582284,704.623,70.0,1197.8591,0,1
4,13.46242284282058,0.9391064146678928,15.264887681958164,925.087,89.99999999999999,1757.6653,1,0
4,15.14033951462082,1.051270437674223,13.699562882241224,771.858,89.99999999999999,1466.5302,0,1
5,12.981237872870258,1.0787610568850234,11.154897601905445,939.509,89.99999999999999,1785.0671,1,0
3,13.950221540565062,0.9789977200664384,14.555185469358207,941.252,70.0,1600.1283999999998,1,0
2,15.761863390184292,1.046499207710612,14.392285030231948,974.819,89.99999999999999,1852.1561,1,0
3,16.95739497049648,1.0287337887425934,16.023342907897675,792.283,89.99999999999999,1505.3377,0,1
4,13.426548081981284,0.9603305432346142,14.55870975252598,928.351,89.99999999999999,1763.8669,1,0
3,17.530912723774172,0.9074700269253224,21.28824935695814,739.509,89.99999999999999,1405.0671,0,1
3,13.663090598913294,0.9235929115364166,16.01724305690658,929.076,70.0,1579.4292,1,0
4,16.26279988402097,0.917515080921606,19.318299519440018,720.358,89.99999999999999,1368.6801999999998,0,1
4,15.756218507658936,0.9049973542160246,19.237887287013507,941.309,30.000000000000004,1223.7017,1,0
4,17.666654675566505,1.0145330508754586,17.16413495303102,978.271,50.0,1467.4065,1,0
3,12.910030116469583,0.87193084059445,16.980996682253437,913.065,89.99999999999999,1734.8235,1,0
4,14.951394384906658,1.021468900172609,14.329511991925235,953.383,70.0,1620.7511,1,0
4,14.96129311350519,0.9495289861113636,16.59406082544997,941.248,70.0,1600.1216,1,0
2,16.06372701776128,0.9176668466655208,19.07551322925307,731.306,89.99999999999999,1389.4814,0,1
4,16.24123717007565,1.053746980490303,14.626702294871608,971.253,89.99999999999999,1845.3807,1,0
5,15.79551504584482,1.0618301624209026,14.00953356234054,963.648,70.0,1638.2016,1,0
2,16.681865377974653,0.9707823680314406,17.701124331123914,970.779,50.0,1456.1685,1,0
2,17.831065856717824,0.954868295910533,19.5564650534361,979.106,19.999999999999996,1174.9272,1,0
3,16.491886978677165,1.0664232847048083,14.501439388822096,980.514,50.0,1470.771,1,0
4,16.777334757775897,1.0699993697757793,14.65399119688398,979.162,89.99999999999999,1860.4078,1,0
5,14.842510175358228,0.8634255216929759,19.909373406108557,920.77,50.0,1381.155,1,0
2,17.02860978215754,0.9278298352034414,19.780739631180417,966.806,70.0,1643.5702,1,0
4,17.65932850397199,0.8732208876114401,23.15932804195612,954.177,70.0,1622.1009,1,0
5,16.590205873352648,0.934106134537232,19.01337994979177,949.564,89.99999999999999,1804.1716,1,0
5,17.085397418334978,0.90469940496015,20.87451894420037,949.319,30.000000000000004,1234.1147,1,0
5,17.80295509382316,0.9042231714382252,21.774131048563365,956.126,70.0,1625.4142,1,0
3,16.78042614768466,1.0600850477301929,14.932123318000306,982.207,89.99999999999999,1866.1933,1,0
5,15.857276450801423,0.9130619135535416,19.02077212646784,938.95,89.99999999999999,1784.005,1,0
2,16.01355207086212,0.9946489007471871,16.1863177734653,968.42,89.99999999999999,1839.998,1,0
4,15.664853779594262,0.8983889093308768,19.40875069734808,939.309,50.0,1408.9634999999998,1,0
3,17.487237201340058,0.9129812995326184,20.979611269025675,963.984,50.0,1445.976,1,0
2,16.20362788407104,0.8740776212663488,21.20861256261293,949.748,89.99999999999999,1804.5212,1,0
2,16.461629155359503,0.8766540710512178,21.41984411375268,716.251,89.99999999999999,1360.8769,0,1
3,17.239515089525455,0.9031670454860172,21.134349267228576,959.938,70.0,1631.8946,1,0
5,13.194640264355264,0.96966014316624,14.033256543587004,923.011,70.0,1569.1187,1,0
5,16.814446723881588,0.8576253797825961,22.860584602629835,938.715,50.0,1408.0725,1,0
4,13.25071110075088,0.9682640854751974,14.13355907390032,928.012,89.99999999999999,1763.2227999999998,1,0
3,16.490020962451368,0.8725493092488101,21.65914205200497,947.538,30.000000000000004,1231.7994,1,0
2,13.784758084737344,1.06465010244876,12.161449714803467,958.924,89.99999999999999,1821.9556,1,0
3,15.388022521772395,0.902802825143035,18.87978282890964,942.101,70.0,1601.5717,1,0
3,17.721109405238302,0.8871676175670128,22.515393641732405,961.841,50.0,1442.7615,1,0
3,15.889101878700004,0.9234578741914,18.63224439275201,950.423,50.0,1425.6345,1,0
3,15.195383688756836,1.061227955301832,13.49255841523346,967.184,50.0,1450.7759999999998,1,0
4,17.789244937371077,1.0319084625956936,16.706103463412532,798.467,89.99999999999999,1517.0873,0,1
3,14.78025311025291,0.9543896421971204,16.22670858009968,945.037,70.0,1606.5629,1,0
3,12.781363700837447,0.9800161009456084,13.30793807520695,930.204,89.99999999999999,1767.3875999999998,1,0
4,12.502004751525408,1.0069841121149166,12.329186518793628,927.407,89.99999999999999,1762.0733,1,0
3,14.623256022482092,1.0078142302961557,14.397368186244943,952.612,89.99999999999999,1809.9628,1,0
2,13.52129849798555,1.033542269884513,12.657907398302296,951.107,70.0,1616.8819,1,0
4,14.31381381261695,0.8861431918764328,18.228358167537696,924.257,89.99999999999999,1756.0883,1,0
3,14.070157202137302,1.051022314431925,12.737232499989558,763.872,89.99999999999999,1451.3567999999998,0,1
5,12.113626894208132,0.9300182234007824,14.005263237137852,905.894,70.0,1540.0198,1,0
4,16.08075954631955,0.92561848980003,18.769059685552023,947.93,70.0,1611.4809999999998,1,0
5,17.0335242337894,0.945630740753417,19.04852485507617,955.779,70.0,1624.8243,1,0
3,14.345527205494742,1.065754103703734,12.629974864883286,959.795,89.99999999999999,1823.6105,1,0
4,14.118322743282045,1.006710854414233,13.930721280552794,942.877,89.99999999999999,1791.4662999999998,1,0
2,17.302609042416954,1.0117227540606264,16.903964023797016,983.698,89.99999999999999,1869.0262,1,0
5,17.037541918669074,1.0774233273714946,14.676895054295596,978.222,70.0,1662.9774,1,0
3,14.713001320955335,1.0667002980216798,12.930533420591663,963.484,89.99999999999999,1830.6196,1,0
4,15.97272590756618,0.927243585366772,18.577675130401797,947.17,30.000000000000004,1231.321,1,0
2,17.296063984286718,0.9027353693709228,21.223957441748095,740.724,30.000000000000004,962.9412,0,1
3,16.161212025209554,0.9027553529485846,19.830505429281622,949.516,70.0,1614.1772,1,0
4,12.9895112878011,0.993149218460873,13.169333664633536,929.735,89.99999999999999,1766.4965,1,0
3,14.23532055562289,0.8619389655611988,19.16082580702637,924.089,89.99999999999999,1755.7691,1,0
3,17.376675401265857,0.9267100222619996,20.23387062185667,747.015,89.99999999999999,1419.3284999999998,0,1
5,12.35960500105889,0.9669258806134172,13.219597189815175,914.53,70.0,1554.701,1,0
2,14.1036321775385,0.98706953531538,14.475563431441977,948.797,89.99999999999999,1802.7143,1,0
4,17.163730105406437,0.9055592068021316,20.930421579868717,954.917,89.99999999999999,1814.3423,1,0
4,17.197037680609633,0.9037665867322692,21.05431328963067,726.283,70.0,1234.6811,0,1
4,16.522312357621274,1.0766155232154884,14.254420084083575,977.839,50.0,1466.7585,1,0
3,15.715211415704715,0.9291793853507092,18.20208322939048,949.727,89.99999999999999,1804.4813,1,0
4,14.4567633537738,0.9088792124096152,17.500833419433704,929.494,70.0,1580.1398,1,0
3,17.47775354388522,0.883019770100212,22.41531036996239,958.8,30.000000000000004,1246.44,1,0
3,14.138869487004492,1.0663822889885552,12.433369450205626,957.918,89.99999999999999,1820.0442,1,0
3,17.871296022818015,0.9264267238070814,20.822549350400543,969.957,89.99999999999999,1842.9183,1,0
3,14.566018671323144,0.9019746080576904,17.904089450825573,934.069,89.99999999999999,1774.7310999999995,1,0
4,15.969883920124293,1.0566924636838124,14.30225573556848,969.149,70.0,1647.5533,1,0
4,14.226717515806511,0.9224149537550332,16.720606964626747,929.587,89.99999999999999,1766.2152999999998,1,0
4,17.62741609129803,0.8769380174783472,22.921912985613154,954.503,30.000000000000004,1240.8539,1,0
4,15.437498112992206,0.9069183551837056,18.768974061019158,938.576,70.0,1595.5792,1,0
4,13.644566077239954,0.8863096418069599,17.369558559209807,917.86,70.0,1560.362,1,0
4,16.257547449167202,0.9171362373517172,19.328018091921173,948.186,50.0,1422.279,1,0
4,15.740394357287869,0.9062655048329448,19.164818444400236,941.373,70.0,1600.3341,1,0
5,17.595912721961955,1.0341697338322569,16.452358040300776,976.23,70.0,1659.591,1,0
2,15.584298034998112,0.983854200900398,16.099995566041674,962.464,70.0,1636.1888,1,0
4,17.024891030893727,0.9012366047374454,20.960744071792018,952.849,50.0,1429.2735,1,0
2,12.965165095944329,0.907887517437812,15.72946536003636,924.406,89.99999999999999,1756.3713999999998,1,0
2,13.577963991761893,0.8678615185679491,18.02742878886368,923.485,89.99999999999999,1754.6215,1,0
2,17.831837715366806,0.948489444330956,19.821252729582845,978.029,19.999999999999996,1173.6348,1,0
3,12.4237840510578,0.954125635147026,13.647175135812873,922.37,89.99999999999999,1752.503,1,0
2,15.92224513721086,1.047327424533714,14.515745805916048,976.499,89.99999999999999,1855.3481,1,0
3,13.788070073191044,0.9412753259243516,15.56216920201223,933.282,70.0,1586.5794,1,0
4,16.112629024058222,0.8776909650717821,20.91621765757943,940.089,50.0,1410.1335,1,0
2,17.107167622925157,0.9714448076656408,18.12766422024337,772.491,89.99999999999999,1467.7329,0,1
4,17.738378632383625,0.9642287113526326,19.078920687925606,970.407,89.99999999999999,1843.7733,1,0
5,15.124675567143646,0.8901594536039537,19.0875615560888,684.288,70.0,1163.2896,0,1
3,13.461417295865305,0.9302511536989724,15.55572843125196,928.272,89.99999999999999,1763.7168,1,0
4,16.862713579357962,0.9401236085073617,19.07908512205516,957.903,50.0,1436.8545,1,0
2,16.128903412113896,0.8745084821721701,21.090010148496997,949.104,30.000000000000004,1233.8352,1,0
3,15.412328165183872,1.0275070780835172,14.598176262030046,770.502,89.99999999999999,1463.9537999999998,0,1
4,15.745989439612927,0.8860137464308977,20.058065070297744,937.984,30.000000000000004,1219.3792,1,0
4,16.24377592431192,1.012526027702033,15.84435623292338,767.603,89.99999999999999,1458.4456999999998,0,1
